FILE_NAME,DATE,TIME,ENTITY,IPN_CARTRIDGE,TYPE_FORCE,WIRE_ID,FORCE
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",23,11.015
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",24,11.252
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",25,11.117
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",26,11.364
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",27,11.093
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",28,10.976
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",29,9.2221
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",30,9.0549
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",31,10.467
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",32,10.726
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",33,11.173
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",34,10.151
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",35,10.783
PULL_2.csv,"""10/09/19""","""16:52:24""","""KWB278""","""20035517""","""Wire Pull""",36,9.4156
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",1,9.5051
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",2,9.5919
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",3,8.9657
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",4,9.9383
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",5,8.7058
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",6,10.093
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",7,10.575
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",8,10.424
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",9,10.309
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",10,10.505
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",11,10.476
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",12,10.931
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",13,10.432
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",14,10.837
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",15,10.685
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",16,10.647
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",17,10.963
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",18,10.927
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",19,10.546
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",20,10.964
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",21,10.890
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",22,10.866
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",23,11.065
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",24,11.055
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",25,11.031
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",26,11.268
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",27,10.877
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",28,8.4726
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",29,10.967
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",30,11.232
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",31,9.8459
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",32,9.3831
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",33,8.0052
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",34,10.101
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",35,8.0255
PULL_3.csv,"""10/09/19""","""17:23:24""","""KWB278""","""20035517""","""Wire Pull""",36,10.185
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",1,9.4123
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",2,9.0170
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",3,9.1654
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",4,9.7048
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",5,9.5980
PULL_4.csv,"""10/09/19""","""17:24:55""","""KWB278""","""20035517""","""Wire Pull""",6,10.535
